Stock Name,Ticker Symbol,Sector,Investment Percentage,Date of Investment
Reliance Industries Ltd,RELIANCE.NS,Energy,12.5,2023-03-15
Tata Consultancy Services,TCS.NS,IT,10.8,2023-01-20
HDFC Bank Ltd,HDFCBANK.NS,Bank,9.2,2022-11-10
Infosys Ltd,INFY.NS,IT,8.7,2023-02-28
ICICI Bank Ltd,ICICIBANK.NS,Bank,7.9,2023-04-12
Hindustan Unilever Ltd,HINDUNILVR.NS,FMCG,6.8,2022-12-05
State Bank of India,SBIN.NS,Bank,6.5,2023-05-18
Bharti Airtel Ltd,BHARTIARTL.NS,Telecom,5.9,2023-03-22
ITC Ltd,ITC.NS,FMCG,5.4,2022-10-30
Larsen & Toubro Ltd,LT.NS,Infrastructure,5.2,2023-01-08
Wipro Ltd,WIPRO.NS,IT,4.8,2023-02-14
Mahindra & Mahindra,M&M.NS,Auto,4.3,2023-04-05
Dr Reddy's Laboratories,DRREDDY.NS,Pharma,4.1,2022-09-25
Asian Paints Ltd,ASIANPAINT.NS,Paints,3.9,2023-06-02
Bajaj Finance Ltd,BAJFINANCE.NS,NBFC,4.0,2023-03-08
