Stock Name,Ticker Symbol,Sector,Investment Percentage,Date of Investment
Apple Inc,AAPL,Technology,11.8,2023-02-15
Microsoft Corporation,MSFT,Technology,10.5,2023-01-12
Amazon.com Inc,AMZN,Consumer Discretionary,9.3,2022-12-08
Alphabet Inc Class A,GOOGL,Technology,8.7,2023-03-22
Tesla Inc,TSLA,Auto,7.9,2023-04-18
JPMorgan Chase & Co,JPM,Bank,7.2,2022-11-25
Johnson & Johnson,JNJ,Healthcare,6.8,2023-01-30
Berkshire Hathaway Inc Class B,BRK-B,Financial Services,6.5,2022-10-15
UnitedHealth Group Inc,UNH,Healthcare,5.9,2023-05-10
Procter & Gamble Co,PG,Consumer Staples,5.4,2023-02-28
Visa Inc Class A,V,Financial Services,5.1,2023-03-15
Coca-Cola Company,KO,Consumer Staples,4.8,2022-09-20
Home Depot Inc,HD,Consumer Discretionary,4.2,2023-04-05
Mastercard Inc Class A,MA,Financial Services,3.9,2023-06-12
Walt Disney Company,DIS,Entertainment,2.0,2023-01-25
